pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,rsi_period,oversold,overbought,tp_pips,sl_pips,tp_type,sl_type,has_breakeven,max_bars,has_lowvol,lowvol_lb,session,tp_display,sl_display,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.2633,33.23,48.62,0.05,-48.57,73.7,1676,15,6,-0.029,0.5289,rsi_reversal_8ac54564,USDJPY,M1,7,35,65,0.05,0.1,fixed,fixed,True,0,True,60,newyork,5p,10p,1.2,0.0,0,-14.7,552,-33.87,1124
0.2682,30.83,56.55,0.06,-56.38,60.7,2102,18,5,-0.0268,0.6018,rsi_reversal_81333319,USDJPY,M1,7,37,63,0.05,0.03,fixed,fixed,True,30,True,30,newyork,5p,3p,1.0,0.0,0,-17.96,695,-38.42,1407
0.2505,30.4,68.9,0.07,-68.9,66.3,2421,13,6,-0.0285,0.5735,rsi_reversal_3a10a2f0,USDJPY,M1,5,37,63,0.03,0.1,fixed,fixed,True,0,True,30,newyork,3p,10p,1.1,0.0,0,-20.72,800,-48.19,1621
0.2325,28.91,74.81,0.07,-74.81,62.5,2497,17,7,-0.03,0.5716,rsi_reversal_db02533a,USDJPY,M1,5,37,63,0.05,0.05,fixed,fixed,True,30,True,60,newyork,5p,5p,1.0,0.0,0,-22.8,824,-52.0,1673
0.2264,29.93,53.24,0.05,-53.18,63.5,1784,18,5,-0.0298,0.53,rsi_reversal_40b1df22,USDJPY,M1,7,35,65,0.03,0.08,fixed,fixed,True,30,True,120,newyork,3p,8p,1.1,0.0,0,-17.26,606,-35.92,1178
0.2498,32.44,130.99,0.13,-130.99,72.8,4418,23,8,-0.0296,0.5203,rsi_reversal_9fb60c53,USDJPY,M1,5,37,63,0.05,0.1,fixed,fixed,False,10,False,0,newyork,5p,10p,1.2,0.0,0,-44.96,1487,-86.03,2931
0.2986,36.56,99.61,0.1,-99.19,90.3,3337,18,6,-0.0297,0.5181,rsi_reversal_b9ebdd56,USDJPY,M1,7,37,63,0.08,0.1,fixed,fixed,False,30,False,0,newyork,8p,10p,1.5,0.0,0,-31.33,1129,-67.86,2208
0.2532,30.98,67.53,0.07,-67.53,67.3,2392,17,8,-0.0282,0.5642,rsi_reversal_9e7f1ebe,USDJPY,M1,6,38,62,0.05,0.08,fixed,fixed,True,15,True,30,london,5p,8p,1.1,-14.47,535,-53.06,1857,0.0,0
0.2522,30.45,63.31,0.06,-63.27,62.5,2263,23,5,-0.028,0.5761,rsi_reversal_68c820a1,USDJPY,M1,5,35,65,0.05,0.05,fixed,fixed,False,15,True,120,newyork,5p,5p,1.0,0.0,0,-20.22,759,-43.05,1504
0.2575,30.35,55.08,0.06,-55.06,63.0,2013,16,6,-0.0274,0.5908,rsi_reversal_568ea7a3,USDJPY,M1,6,35,65,0.03,0.08,fixed,fixed,True,0,True,120,london,3p,8p,1.1,-12.07,462,-42.99,1551,0.0,0
0.2558,31.4,40.4,0.04,-40.27,63.1,1484,13,5,-0.0271,0.5588,rsi_reversal_b3909d97,USDJPY,M1,7,33,67,0.03,0.08,fixed,fixed,True,30,True,60,london,3p,8p,1.1,-7.85,327,-32.42,1157,0.0,0
0.3382,38.7,37.1,0.04,-36.94,103.2,1279,10,7,-0.0289,0.5356,rsi_reversal_9fc01f68,USDJPY,M1,7,33,67,0.1,0.1,fixed,fixed,True,10,True,30,newyork,10p,10p,1.7,0.0,0,-11.26,416,-25.68,863
0.2551,31.93,49.98,0.05,-49.92,67.9,1738,15,5,-0.0287,0.5437,rsi_reversal_e10fd14b,USDJPY,M1,7,35,65,0.05,0.08,fixed,fixed,True,15,True,60,newyork,5p,8p,1.1,0.0,0,-14.69,571,-35.24,1167
0.2325,28.68,140.74,0.14,-140.74,60.6,4839,20,7,-0.0291,0.5781,rsi_reversal_9ce48976,USDJPY,M1,5,37,63,0.03,0.05,fixed,fixed,True,15,False,0,london,3p,5p,1.0,-30.82,1075,-109.92,3764,0.0,0
0.2525,32.95,107.74,0.11,-107.51,73.3,3645,19,6,-0.0295,0.5138,rsi_reversal_5f9a12fc,USDJPY,M1,7,37,63,0.05,0.1,fixed,fixed,True,0,False,0,newyork,5p,10p,1.2,0.0,0,-35.38,1218,-72.13,2427
0.2531,30.11,63.49,0.06,-63.48,60.8,2285,15,6,-0.0278,0.5875,rsi_reversal_d483a786,USDJPY,M1,5,35,65,0.05,0.03,fixed,fixed,True,15,True,30,newyork,5p,3p,1.0,0.0,0,-20.81,759,-42.67,1526
0.247,27.97,51.63,0.05,-51.54,65.5,1734,22,6,-0.0297,0.636,rsi_reversal_84575283,USDJPY,M1,6,33,67,0.1,0.03,fixed,fixed,True,15,True,120,newyork,10p,3p,1.1,0.0,0,-14.5,577,-37.05,1157
0.2474,32.04,119.75,0.12,-119.75,72.5,4070,22,6,-0.0294,0.5247,rsi_reversal_d1fe591b,USDJPY,M1,6,37,63,0.05,0.1,fixed,fixed,True,0,False,0,london,5p,10p,1.2,-25.0,898,-94.75,3172,0.0,0
0.291,35.92,108.14,0.11,-107.88,88.2,3619,18,7,-0.0298,0.5192,rsi_reversal_60828e6b,USDJPY,M1,7,38,62,0.08,0.1,fixed,fixed,True,30,False,0,newyork,8p,10p,1.5,0.0,0,-35.18,1230,-72.7,2389
0.2606,31.42,68.1,0.07,-68.1,67.2,2406,15,5,-0.0283,0.5687,rsi_reversal_c9a289e2,USDJPY,M1,6,38,62,0.05,0.08,fixed,fixed,False,30,True,30,london,5p,8p,1.1,-15.25,532,-52.86,1874,0.0,0
0.3225,34.75,59.07,0.06,-59.07,88.8,2046,16,7,-0.0289,0.6055,rsi_reversal_a5dc74d5,USDJPY,M1,6,37,63,0.1,0.08,fixed,fixed,False,10,True,30,london,10p,8p,1.5,-11.86,458,-47.21,1588,0.0,0
0.2505,30.01,56.19,0.06,-56.19,60.8,2036,18,6,-0.0276,0.5841,rsi_reversal_cc9c5378,USDJPY,M1,5,33,67,0.05,0.03,fixed,fixed,True,10,True,120,london,5p,3p,1.0,-12.04,471,-44.15,1565,0.0,0
0.2372,29.51,65.36,0.07,-65.26,60.2,2294,21,7,-0.0284,0.5665,rsi_reversal_8533addf,USDJPY,M1,5,35,65,0.03,0.03,fixed,fixed,True,0,True,30,newyork,3p,3p,1.0,0.0,0,-20.79,761,-44.47,1533
0.2458,30.71,94.84,0.09,-94.84,67.5,3269,21,8,-0.029,0.5546,rsi_reversal_69cc01df,USDJPY,M1,7,35,65,0.05,0.08,fixed,fixed,True,10,False,0,london,5p,8p,1.1,-20.33,707,-74.51,2562,0.0,0
0.2503,30.14,63.74,0.06,-63.74,62.8,2273,17,6,-0.028,0.5803,rsi_reversal_61d786dd,USDJPY,M1,5,35,65,0.03,0.08,fixed,fixed,True,0,True,30,london,3p,8p,1.0,-13.3,496,-50.44,1777,0.0,0
0.2643,30.48,54.55,0.05,-54.51,62.6,1985,18,6,-0.0275,0.6029,rsi_reversal_1458e196,USDJPY,M1,5,33,67,0.05,0.05,fixed,fixed,True,0,True,120,london,5p,5p,1.0,-12.18,453,-42.33,1532,0.0,0
0.2759,30.12,48.66,0.05,-48.51,71.9,1670,21,6,-0.029,0.6401,rsi_reversal_51482c61,USDJPY,M1,6,33,67,0.1,0.05,fixed,fixed,False,0,True,120,london,10p,5p,1.2,-10.6,372,-37.9,1298,0.0,0
0.2719,30.49,50.25,0.05,-50.08,72.3,1722,16,4,-0.0291,0.62,rsi_reversal_200e41fc,USDJPY,M1,7,35,65,0.1,0.05,fixed,fixed,True,30,True,30,newyork,10p,5p,1.2,0.0,0,-16.2,577,-33.88,1145
0.2593,30.5,73.93,0.07,-73.93,67.4,2590,17,7,-0.0285,0.5909,rsi_reversal_bee69ebb,USDJPY,M1,5,38,62,0.05,0.08,fixed,fixed,True,0,True,120,london,5p,8p,1.1,-16.51,590,-57.42,2000,0.0,0
0.2576,28.8,59.23,0.06,-59.17,66.6,2059,26,6,-0.0287,0.6368,rsi_reversal_98736cc7,USDJPY,M1,7,37,63,0.1,0.03,fixed,fixed,False,15,True,120,newyork,10p,3p,1.1,0.0,0,-18.13,688,-41.04,1371
0.2904,34.07,61.14,0.06,-60.78,78.2,2069,20,6,-0.0294,0.5618,rsi_reversal_ad7b616b,USDJPY,M1,6,37,63,0.08,0.08,fixed,fixed,False,15,True,60,newyork,8p,8p,1.3,0.0,0,-18.7,692,-42.07,1377
0.2943,35.61,121.66,0.12,-121.61,88.1,4094,22,8,-0.0297,0.532,rsi_reversal_295d0a71,USDJPY,M1,5,37,63,0.08,0.1,fixed,fixed,True,30,False,0,newyork,8p,10p,1.5,0.0,0,-41.62,1387,-79.99,2707
0.3175,34.41,125.86,0.13,-125.79,89.9,4307,21,7,-0.0292,0.6053,rsi_reversal_db9d143a,USDJPY,M1,5,38,62,0.1,0.08,fixed,fixed,False,10,False,0,newyork,10p,8p,1.5,0.0,0,-43.45,1456,-82.34,2851
0.318,36.95,108.47,0.11,-108.44,99.0,3597,14,7,-0.0301,0.5426,rsi_reversal_d39827e7,USDJPY,M1,6,37,63,0.1,0.1,fixed,fixed,True,15,False,0,london,10p,10p,1.6,-23.7,808,-84.74,2789,0.0,0
0.2878,32.56,55.79,0.06,-55.79,87.7,1815,19,7,-0.0307,0.596,rsi_reversal_d70b7402,USDJPY,M1,5,33,67,0.1,0.08,fixed,fixed,True,30,True,30,london,10p,8p,1.5,-11.51,403,-44.28,1412,0.0,0
0.2677,31.26,55.06,0.06,-55.03,63.0,2073,14,6,-0.0265,0.5886,rsi_reversal_47bec84b,USDJPY,M1,7,37,63,0.03,0.08,fixed,fixed,True,15,True,60,london,3p,8p,1.1,-11.79,472,-43.24,1601,0.0,0
0.3069,33.74,66.89,0.07,-66.89,85.7,2276,19,8,-0.0294,0.6026,rsi_reversal_8e294273,USDJPY,M1,5,37,63,0.1,0.08,fixed,fixed,True,10,True,30,london,10p,8p,1.4,-13.56,520,-53.33,1756,0.0,0
0.2565,30.94,61.63,0.06,-61.63,65.7,2240,15,6,-0.0275,0.5727,rsi_reversal_f0f60c0e,USDJPY,M1,5,35,65,0.03,0.1,fixed,fixed,True,10,True,120,london,3p,10p,1.1,-12.9,510,-48.73,1730,0.0,0
0.2602,29.09,81.51,0.08,-81.51,67.1,2833,16,5,-0.0288,0.6344,rsi_reversal_8334d9ee,USDJPY,M1,7,33,67,0.1,0.03,fixed,fixed,False,10,False,0,london,10p,3p,1.1,-17.77,611,-63.74,2222,0.0,0
0.2736,34.45,38.59,0.04,-38.53,74.1,1402,11,6,-0.0275,0.5206,rsi_reversal_f7734105,USDJPY,M1,7,33,67,0.05,0.1,fixed,fixed,True,15,True,60,london,5p,10p,1.2,-7.11,301,-31.42,1101,0.0,0
0.2712,33.11,105.73,0.11,-105.39,78.6,3461,14,5,-0.0304,0.5479,rsi_reversal_156ba718,USDJPY,M1,6,35,65,0.08,0.08,fixed,fixed,False,30,False,0,newyork,8p,8p,1.3,0.0,0,-33.92,1170,-71.47,2291
0.268,31.64,53.67,0.05,-53.66,67.6,1966,14,6,-0.0273,0.5791,rsi_reversal_9bcb5e12,USDJPY,M1,6,35,65,0.05,0.08,fixed,fixed,True,15,True,120,london,5p,8p,1.1,-11.93,449,-41.73,1517,0.0,0
0.2975,35.81,65.48,0.07,-65.19,90.0,2164,17,8,-0.0301,0.5332,rsi_reversal_41570961,USDJPY,M1,5,37,63,0.08,0.1,fixed,fixed,False,0,True,120,newyork,8p,10p,1.5,0.0,0,-21.13,735,-44.06,1429
0.2518,29.72,50.01,0.05,-49.96,61.1,1780,14,6,-0.0281,0.5954,rsi_reversal_e2facda3,USDJPY,M1,6,33,67,0.03,0.05,fixed,fixed,False,10,True,30,newyork,3p,5p,1.0,0.0,0,-15.84,591,-34.12,1189
0.2309,29.91,44.03,0.04,-43.99,63.5,1501,15,8,-0.0293,0.5411,rsi_reversal_c0cd1dcc,USDJPY,M1,7,33,67,0.03,0.08,fixed,fixed,True,0,True,60,newyork,3p,8p,1.1,0.0,0,-12.88,488,-31.11,1013
0.3258,37.17,82.59,0.08,-82.28,101.6,2755,14,9,-0.0299,0.5508,rsi_reversal_303a5067,USDJPY,M1,6,33,67,0.1,0.1,fixed,fixed,True,15,False,0,newyork,10p,10p,1.7,0.0,0,-25.8,913,-56.48,1842
0.2353,28.83,113.2,0.11,-113.19,63.0,3777,22,6,-0.03,0.5807,rsi_reversal_045c6999,USDJPY,M1,5,33,67,0.08,0.03,fixed,fixed,False,30,False,0,newyork,8p,3p,1.1,0.0,0,-36.62,1267,-76.57,2510
0.273,30.6,61.11,0.06,-61.03,66.7,2193,20,5,-0.0278,0.6192,rsi_reversal_7d74a0a7,USDJPY,M1,7,38,62,0.08,0.05,fixed,fixed,False,30,True,60,london,8p,5p,1.1,-13.48,502,-47.55,1691,0.0,0
0.2537,30.35,55.28,0.06,-55.25,62.9,1990,21,6,-0.0278,0.5822,rsi_reversal_067201f1,USDJPY,M1,5,33,67,0.03,0.08,fixed,fixed,True,0,True,120,london,3p,8p,1.0,-11.19,451,-44.06,1539,0.0,0
0.29,34.27,56.26,0.06,-56.26,72.3,2124,22,6,-0.0265,0.5561,rsi_reversal_dd61e1de,USDJPY,M1,5,35,65,0.05,0.1,fixed,fixed,False,30,True,60,london,5p,10p,1.2,-12.8,462,-43.47,1662,0.0,0
0.2541,31.13,61.99,0.06,-61.81,63.0,2213,16,5,-0.0279,0.562,rsi_reversal_f0bbbaa0,USDJPY,M1,5,35,65,0.03,0.08,fixed,fixed,True,0,True,60,newyork,3p,8p,1.1,0.0,0,-18.17,735,-43.64,1478
0.2446,29.97,42.42,0.04,-42.35,60.6,1505,14,5,-0.0281,0.5716,rsi_reversal_7ea1a967,USDJPY,M1,7,33,67,0.03,0.05,fixed,fixed,False,30,True,60,london,3p,5p,1.0,-7.99,331,-34.36,1174,0.0,0
0.2314,29.54,67.75,0.07,-67.66,60.2,2329,21,7,-0.0291,0.552,rsi_reversal_442b6c0e,USDJPY,M1,6,37,63,0.03,0.03,fixed,fixed,True,0,True,30,newyork,3p,3p,1.0,0.0,0,-21.26,770,-46.4,1559
0.2876,30.67,53.97,0.05,-53.84,67.0,1953,19,5,-0.0276,0.6501,rsi_reversal_917a77f4,USDJPY,M1,6,35,65,0.08,0.05,fixed,fixed,False,10,True,120,london,8p,5p,1.1,-11.89,445,-41.95,1508,0.0,0
0.2543,30.75,67.99,0.07,-67.87,62.6,2423,16,7,-0.028,0.5727,rsi_reversal_2ff366c4,USDJPY,M1,6,38,62,0.05,0.05,fixed,fixed,True,15,True,60,newyork,5p,5p,1.0,0.0,0,-20.91,803,-46.96,1620
0.249,29.53,63.03,0.06,-63.0,60.6,2286,18,6,-0.0276,0.5944,rsi_reversal_2f935efa,USDJPY,M1,5,35,65,0.03,0.05,fixed,fixed,False,30,True,120,london,3p,5p,1.0,-13.68,521,-49.32,1765,0.0,0
0.3109,36.35,44.89,0.04,-44.77,89.8,1538,12,7,-0.0291,0.5445,rsi_reversal_3b6e4b89,USDJPY,M1,6,33,67,0.08,0.1,fixed,fixed,False,0,True,30,newyork,8p,10p,1.5,0.0,0,-14.87,519,-29.89,1019
0.2722,30.1,64.5,0.06,-64.5,71.1,2206,17,7,-0.0292,0.6321,rsi_reversal_0155847a,USDJPY,M1,6,37,63,0.1,0.05,fixed,fixed,True,10,True,120,london,10p,5p,1.2,-13.93,505,-50.56,1701,0.0,0
0.3044,36.39,57.5,0.06,-57.33,88.4,1984,14,7,-0.0289,0.5321,rsi_reversal_ca68dd49,USDJPY,M1,5,35,65,0.08,0.1,fixed,fixed,True,30,True,30,newyork,8p,10p,1.5,0.0,0,-18.17,670,-39.16,1314
0.3277,37.32,37.97,0.04,-37.86,99.8,1270,12,6,-0.0298,0.5504,rsi_reversal_c3ffacbc,USDJPY,M1,7,33,67,0.1,0.1,fixed,fixed,True,10,True,30,newyork,10p,10p,1.7,0.0,0,-12.14,418,-25.72,852
0.2606,29.93,64.12,0.06,-64.12,63.2,2279,22,6,-0.0281,0.6103,rsi_reversal_f450cfa3,USDJPY,M1,5,35,65,0.08,0.03,fixed,fixed,True,0,True,30,london,8p,3p,1.1,-13.32,502,-50.8,1777,0.0,0
0.2401,29.78,78.27,0.08,-78.27,62.6,2680,22,7,-0.0292,0.5662,rsi_reversal_3109af88,USDJPY,M1,5,38,62,0.05,0.05,fixed,fixed,True,15,True,30,london,5p,5p,1.0,-18.28,614,-59.99,2066,0.0,0
0.2764,30.55,56.94,0.06,-56.44,73.0,1902,17,8,-0.0297,0.6285,rsi_reversal_7b9ab215,USDJPY,M1,6,35,65,0.1,0.05,fixed,fixed,False,10,True,30,newyork,10p,5p,1.2,0.0,0,-16.76,622,-39.68,1280
0.2615,30.33,42.5,0.04,-42.48,63.2,1507,15,5,-0.0282,0.6009,rsi_reversal_0a03f7c8,USDJPY,M1,7,33,67,0.08,0.03,fixed,fixed,False,15,True,30,london,8p,3p,1.1,-8.06,327,-34.42,1180,0.0,0
0.2514,30.69,50.65,0.05,-50.58,62.8,1792,14,4,-0.0282,0.5676,rsi_reversal_5a578fa8,USDJPY,M1,7,35,65,0.05,0.05,fixed,fixed,True,15,True,30,newyork,5p,5p,1.0,0.0,0,-16.66,596,-33.92,1196
0.3082,34.11,46.93,0.05,-46.83,86.5,1586,21,9,-0.0295,0.5953,rsi_reversal_4fb3e656,USDJPY,M1,6,33,67,0.1,0.08,fixed,fixed,True,0,True,120,newyork,10p,8p,1.4,0.0,0,-14.43,526,-32.4,1060
0.2373,29.76,121.41,0.12,-121.41,63.4,4203,26,5,-0.0289,0.5599,rsi_reversal_1554200c,USDJPY,M1,7,38,62,0.03,0.08,fixed,fixed,True,15,False,0,london,3p,8p,1.1,-26.3,938,-95.11,3265,0.0,0
0.2314,28.89,83.38,0.08,-83.38,60.9,2901,16,6,-0.0287,0.5696,rsi_reversal_9abae833,USDJPY,M1,7,33,67,0.03,0.05,fixed,fixed,False,15,False,0,london,3p,5p,1.0,-18.18,629,-65.2,2272,0.0,0
0.2551,30.82,60.86,0.06,-60.71,63.1,2213,14,7,-0.0274,0.5727,rsi_reversal_29ec18d0,USDJPY,M1,7,38,62,0.03,0.08,fixed,fixed,True,0,True,60,newyork,3p,8p,1.1,0.0,0,-18.74,731,-41.97,1482
0.2605,31.91,61.68,0.06,-61.58,67.3,2206,18,7,-0.0279,0.5557,rsi_reversal_e8b4a612,USDJPY,M1,5,35,65,0.05,0.08,fixed,fixed,True,0,True,30,newyork,5p,8p,1.1,0.0,0,-19.88,732,-41.71,1474
0.2565,29.85,72.06,0.07,-71.93,67.4,2459,16,6,-0.0292,0.6028,rsi_reversal_e0a1fc5c,USDJPY,M1,5,37,63,0.08,0.05,fixed,fixed,True,15,True,30,newyork,8p,5p,1.1,0.0,0,-23.64,811,-48.29,1648
0.2571,30.9,66.06,0.07,-66.06,63.0,2411,17,6,-0.0274,0.5748,rsi_reversal_824a00f8,USDJPY,M1,6,38,62,0.03,0.08,fixed,fixed,True,10,True,30,newyork,3p,8p,1.1,0.0,0,-21.83,806,-44.23,1605
0.2437,28.63,140.11,0.14,-140.11,63.2,4771,24,7,-0.0294,0.6076,rsi_reversal_d72ea3f2,USDJPY,M1,5,37,63,0.08,0.03,fixed,fixed,False,30,False,0,london,8p,3p,1.1,-30.29,1061,-109.82,3710,0.0,0
0.3159,34.48,116.0,0.12,-115.79,89.6,3959,16,7,-0.0292,0.6003,rsi_reversal_b29507a2,USDJPY,M1,6,38,62,0.1,0.08,fixed,fixed,False,0,False,0,newyork,10p,8p,1.5,0.0,0,-38.79,1350,-77.0,2609
0.2515,30.75,90.18,0.09,-90.18,67.7,3167,21,7,-0.0285,0.5662,rsi_reversal_f38da657,USDJPY,M1,6,33,67,0.05,0.08,fixed,fixed,False,30,False,0,london,5p,8p,1.1,-19.38,689,-70.8,2478,0.0,0
0.326,37.15,51.92,0.05,-51.76,101.9,1720,13,9,-0.0301,0.5515,rsi_reversal_200803fe,USDJPY,M1,7,37,63,0.1,0.1,fixed,fixed,True,0,True,120,london,10p,10p,1.7,-11.09,387,-40.67,1333,0.0,0
0.232,29.32,136.0,0.14,-136.0,62.4,4605,19,5,-0.0295,0.5595,rsi_reversal_f2f9724d,USDJPY,M1,6,38,62,0.05,0.05,fixed,fixed,True,15,False,0,london,5p,5p,1.0,-29.1,1012,-106.9,3593,0.0,0
0.2905,36.1,40.03,0.04,-40.03,90.0,1313,11,6,-0.0305,0.5143,rsi_reversal_0552a855,USDJPY,M1,7,33,67,0.08,0.1,fixed,fixed,True,10,True,30,london,8p,10p,1.5,-7.25,291,-32.78,1022,0.0,0
0.2392,29.51,72.43,0.07,-72.22,60.8,2491,21,7,-0.029,0.5715,rsi_reversal_ed96ffa5,USDJPY,M1,5,37,63,0.03,0.05,fixed,fixed,True,30,True,60,newyork,3p,5p,1.0,0.0,0,-20.93,822,-51.29,1669
0.302,36.27,58.41,0.06,-58.11,89.5,1941,13,6,-0.0299,0.5307,rsi_reversal_33ecead3,USDJPY,M1,6,37,63,0.08,0.1,fixed,fixed,True,15,True,60,newyork,8p,10p,1.5,0.0,0,-17.37,655,-40.75,1286
0.2386,29.7,71.06,0.07,-71.06,62.4,2468,17,8,-0.0288,0.5648,rsi_reversal_57e6f0ae,USDJPY,M1,6,38,62,0.05,0.05,fixed,fixed,True,0,True,30,london,5p,5p,1.0,-15.47,557,-55.59,1911,0.0,0
0.2646,30.51,55.71,0.06,-55.68,60.5,2101,18,6,-0.0265,0.6028,rsi_reversal_060ec2e5,USDJPY,M1,7,37,63,0.03,0.05,fixed,fixed,True,10,True,60,london,3p,5p,1.0,-12.29,478,-43.38,1623,0.0,0
0.3099,35.81,56.27,0.06,-56.21,87.8,1977,16,9,-0.0284,0.5555,rsi_reversal_2ab60947,USDJPY,M1,7,38,62,0.08,0.1,fixed,fixed,True,15,True,120,london,8p,10p,1.5,-12.44,458,-43.77,1519,0.0,0
0.252,31.53,62.22,0.06,-62.22,65.9,2239,18,6,-0.0278,0.5471,rsi_reversal_42e77146,USDJPY,M1,6,37,63,0.03,0.1,fixed,fixed,True,10,True,60,london,3p,10p,1.1,-13.41,506,-48.81,1733,0.0,0
0.2553,29.42,69.61,0.07,-69.38,62.9,2427,28,6,-0.0286,0.6126,rsi_reversal_6ecd0f58,USDJPY,M1,6,38,62,0.08,0.03,fixed,fixed,False,0,True,120,newyork,8p,3p,1.0,0.0,0,-21.98,819,-47.4,1608
0.229,29.46,141.61,0.14,-141.61,62.3,4738,28,6,-0.0299,0.5481,rsi_reversal_03fa76fa,USDJPY,M1,5,37,63,0.05,0.05,fixed,fixed,True,30,False,0,newyork,5p,5p,1.0,0.0,0,-47.49,1584,-94.11,3154
0.3283,35.05,55.61,0.06,-55.2,86.9,1946,13,9,-0.0284,0.6084,rsi_reversal_5f0155ba,USDJPY,M1,7,38,62,0.1,0.08,fixed,fixed,True,15,True,60,newyork,10p,8p,1.4,0.0,0,-16.04,648,-39.16,1298
0.2796,32.39,52.4,0.05,-52.36,67.3,1936,17,6,-0.027,0.5837,rsi_reversal_7693156b,USDJPY,M1,5,33,67,0.05,0.08,fixed,fixed,True,0,True,120,london,5p,8p,1.1,-11.58,439,-40.78,1497,0.0,0
0.3063,36.76,61.24,0.06,-61.24,88.3,2119,14,6,-0.0289,0.5269,rsi_reversal_98dbe2b1,USDJPY,M1,6,38,62,0.08,0.1,fixed,fixed,False,15,True,60,london,8p,10p,1.5,-14.02,472,-47.22,1647,0.0,0
0.2488,31.78,132.82,0.13,-132.82,72.7,4484,18,7,-0.0296,0.534,rsi_reversal_48e85dee,USDJPY,M1,5,37,63,0.05,0.1,fixed,fixed,False,15,False,0,london,5p,10p,1.2,-28.38,995,-104.43,3489,0.0,0
0.2377,30.24,60.26,0.06,-60.22,63.3,2070,19,6,-0.0291,0.5483,rsi_reversal_a28959a7,USDJPY,M1,7,37,63,0.03,0.08,fixed,fixed,False,15,True,120,newyork,3p,8p,1.1,0.0,0,-19.38,697,-40.84,1373
0.2509,29.98,66.15,0.07,-66.09,67.0,2208,20,5,-0.0299,0.586,rsi_reversal_b49be7c4,USDJPY,M1,5,35,65,0.08,0.05,fixed,fixed,True,10,True,120,newyork,8p,5p,1.1,0.0,0,-21.71,741,-44.38,1467
0.2528,30.36,61.86,0.06,-61.85,60.8,2256,22,6,-0.0274,0.5797,rsi_reversal_b7a729d8,USDJPY,M1,7,38,62,0.03,0.05,fixed,fixed,True,15,True,30,newyork,3p,5p,1.0,0.0,0,-19.95,748,-41.9,1508
0.327,34.36,52.08,0.05,-52.08,86.5,1845,13,8,-0.0282,0.6247,rsi_reversal_7bb3b785,USDJPY,M1,7,37,63,0.1,0.08,fixed,fixed,True,0,True,60,london,10p,8p,1.4,-10.52,412,-41.56,1433,0.0,0
0.2571,31.57,54.79,0.05,-54.79,66.2,1932,14,8,-0.0284,0.5572,rsi_reversal_c786b222,USDJPY,M1,5,33,67,0.03,0.1,fixed,fixed,False,15,True,30,newyork,3p,10p,1.1,0.0,0,-16.19,625,-38.6,1307
0.249,28.01,72.75,0.07,-72.73,66.0,2481,21,7,-0.0293,0.64,rsi_reversal_54219464,USDJPY,M1,5,37,63,0.1,0.03,fixed,fixed,True,0,True,120,newyork,10p,3p,1.1,0.0,0,-23.26,835,-49.47,1646
0.2477,31.14,57.67,0.06,-57.56,67.6,1930,18,7,-0.0298,0.5477,rsi_reversal_cc106d2c,USDJPY,M1,6,35,65,0.05,0.08,fixed,fixed,False,30,True,120,newyork,5p,8p,1.1,0.0,0,-16.8,650,-40.76,1280
0.2392,29.42,51.15,0.05,-51.09,60.7,1747,21,5,-0.0292,0.5738,rsi_reversal_adccfbe7,USDJPY,M1,6,33,67,0.05,0.03,fixed,fixed,True,10,True,60,newyork,5p,3p,1.0,0.0,0,-14.1,566,-36.99,1181
